Title | .NET
TypeName | .NET
API | Console.WriteLine
API | JsonSerializable
API | JsonSerializer.Serialize
API | Build
API | Add
API | GetResponseAsync
API | JsonSourceGenerationOptions
API | EvaluateAsync
API | AddOption
API | ChatClientBuilder
API | Microsoft.Extensions
API | System.Text.Json
Keyword | file-based apps
Keyword | object initialization
Keyword | anonymous types
Keyword | async operations
Keyword | collection properties
Keyword | pattern matching
Keyword | async linq
Keyword | framework-dependent
Keyword | stack allocation
Keyword | array interface devirtualization
Keyword | collection initialization
Keyword | file-based-programs
