Title | File-based apps
API | Console.WriteLine
API | Console.ReadLine
API | AsciiOptions
API | Colorful.Console.WriteAscii
API | EntryPointImpl
API | Join
API | JsonConvert.SerializeObject
API | System.CommandLine
Keyword | file-based apps
Keyword | file-based-programs
Keyword | file-level
Keyword | traditional project
Keyword | whats-new
Keyword | ascii art
Keyword | exit codes
Keyword | project structure
Keyword | single file constraint
Keyword | traditional project structure
Keyword | docs
Keyword | file-based
