Title | Inline Arrays
API | InlineArray
API | Console.WriteLine
API | CopyTo
API | System.Runtime
API | AsSpan
API | System.Runtime.CompilerServices
API | Enqueue
API | ProcessData
API | Fill
API | Math.Min
API | Reverse
API | StructLayout
Error | CS9167
ErrorMessage | Inline array length must be greater than 0.
Error | CS9169
ErrorMessage | Inline array struct must declare one and only one instance field.
Error | CS9168
ErrorMessage | Inline array struct must not have explicit layout.
Error | CS9166
ErrorMessage | Index is outside the bounds of the inline array.
Error | CS9172
ErrorMessage | Elements of an inline array type can be accessed only with a single argument implicitly convertible to 'int', 'System.Index', or 'System.Range'.
Error | CS9189
ErrorMessage | foreach statement on an inline array of type '{0}' is not supported.
Error | CS9180
ErrorMessage | Inline array element field cannot be declared as required, readonly, volatile, or as a fixed size buffer.
Error | CS9173
ErrorMessage | An inline array access may not have a named argument specifier.
Error | CS9170
ErrorMessage | An expression tree may not contain an inline array access or conversion.
Error | CS9171
ErrorMessage | Target runtime doesn't support inline array types.
Error | CS9184
ErrorMessage | 'Inline arrays' language feature is not supported for an inline array type that is not valid as a type argument, or has element type that is not valid as a type argument.
Error | CS9181
ErrorMessage | Inline array indexer will not be used for element access expression.
Error | CS9182
ErrorMessage | Inline array 'Slice' method will not be used for element access expression.
Error | CS9183
ErrorMessage | Inline array conversion operator will not be used for conversion from expression of the declaring type.
Keyword | inline arrays
Keyword | buffers
Keyword | inline array
Keyword | fixed-size
Keyword | buffer
Keyword | unsafe
Keyword | element access
Keyword | considerations
Keyword | heap
Keyword | bounds
Keyword | create
Keyword | interop
