Title | Microsoft.Extensions.Http.Resilience
TypeName | Microsoft.Extensions.Http.Resilience
TypeName | Microsoft.Extensions.Http
TypeName | Resilience
Keyword | resilience
Keyword | http
Keyword | communication
Keyword | standard
Keyword | microsoft.extensions.http.resilience
Keyword | monitoring
Keyword | strategies
Keyword | built
Keyword | circuit
Keyword | httpclient
Keyword | polly
Keyword | reliability
Description | Microsoft.Extensions.Http.Resilience provides resilience mechanisms for HttpClient built on the Polly framework. It offers pre-configured resilience patterns including retry policies, circuit breakers, hedging strategies, rate limiting, and timeouts to ensure reliable HTTP communication in production applications.
