Title | Span-Based String Processing
API | Slice
API | AsSpan
API | Console.WriteLine
API | System.Text
API | IsNormalized
API | StartsWith
API | Encoding.UTF8.GetBytes
API | File.ReadAllBytes
API | GetFileExtension
API | IndexOf
API | IsValidCommand
API | LastIndexOf
Keyword | span-based
Keyword | utf-8
Keyword | pattern matching
Keyword | allocations
Keyword | strings
Keyword | string normalization
Keyword | without
Keyword | spans
Keyword | text
Keyword | span-based string processing
Keyword | string
Keyword | utf-8 string literals
