Title | String Search
Keyword | string
Keyword | searchvalues
Keyword | string search operations
Keyword | contains
Keyword | indexof
Keyword | searching
Keyword | repeated
Keyword | searches
Keyword | allocation-free
Keyword | character
Keyword | matching
Keyword | search
Description | String search operations provide a comprehensive set of methods for locating substrings, characters, and patterns within text. These operations include Contains, IndexOf, LastIndexOf, StartsWith, EndsWith, and IndexOfAny, offering solutions ranging from simple existence checks to position-based extraction with both ordinal and culture-aware comparison modes.
