Title | System.Text.Json.JsonSerializer
TypeName | System.Text.Json.JsonSerializer
TypeName | System.Text.Json
TypeName | JsonSerializer
API | JsonSerializer.Serialize
API | System.Text.Json
API | System.Text
API | Console.WriteLine
API | System.Text.Json.Serialization
API | Description
API | Product
API | JsonConstructor
API | JsonDerivedType
API | JsonSerializable
API | JsonSerializerOptions
API | JsonStringEnumMemberName
Keyword | deserialization
Keyword | system.text.json.jsonserializer
Keyword | serialization
Keyword | source generation
Keyword | json
Keyword | jsonserializer
Keyword | serialize
Keyword | compile-time
Keyword | constructor parameters
Keyword | utf-8 operations
Keyword | control
Keyword | output
